Country,Region_Grid,Publisher,Data_Vintage,Method,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Applicability_Wind_Solar,Applicability_Other,Crediting_Period_1,Crediting_Period_2,Crediting_Period_3,Notes,Sources,URLs
Indonesia,Maumere,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86499999999999999,NA,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Waingapu,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73099999999999998,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Waingapu,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69199999999999995,NA,0.86099999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ambon,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79500000000000004,NA,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ambon,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81399999999999995,NA,0.75900000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ternate,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ternate,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77700000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tual,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84399999999999997,NA,0.74199999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Tual,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91100000000000003,NA,0.74399999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Masohi,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73699999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
